,X,vcode,imageFile,pairID,basname,spcname,cond,resp,resp.raw,pos_tagged,parsed,dep_parsed,tags_only,tokens,head_noun,objName,nameCat,ExprCategory,preNomMod,postNomMod,type_mod,grouped_tags
20,3841,9607271,airplane_jet_ambi_spec_1765928.png,1,airplane,jet,spec,the air plane,the air plane,"[('the', 'DT'), ('air', 'NN'), ('plane', 'NN')]","(ROOT
  (NP (DT the) (NN air) (NN plane)))","[(ROOT, 0, 3), (det, 3, 1), (compound, 3, 2)]","['DT', 'NN', 'NN']","['the', 'air', 'plane']",plane,plane,ref,syntax,['air'],['--'],['detNN'],[]
21,4277,7143428,airplane_jet_ambi_spec_1765928.png,1,airplane,jet,spec,the air canada plane,the air canada plane,"[('the', 'DT'), ('air', 'NN'), ('canada', 'NNP'), ('plane', 'NN')]","(ROOT
  (FRAG
    (NP (DT the) (NN air))
    (NP (NNP canada))
    (NP (NN plane))))","[(ROOT, 0, 4), (det, 4, 1), (compound, 3, 2), (compound, 4, 3)]","['DT', 'NN', 'NNP', 'NN']","['the', 'air', 'canada', 'plane']",plane,plane,ref,syntax,"['air', 'canada']",['--'],['text'],['visual']
22,3775,8197553,airplane_jet_ambi_spec_1765928.png,1,airplane,jet,spec,the commuter plane,the commuter plane,"[('the', 'DT'), ('commuter', 'NN'), ('plane', 'NN')]","(ROOT
  (NP (DT the) (NN commuter) (NN plane)))","[(ROOT, 0, 3), (det, 3, 1), (compound, 3, 2)]","['DT', 'NN', 'NN']","['the', 'commuter', 'plane']",plane,plane,ref,syntax,['commuter'],['--'],['--'],[]
23,6450,4663449,airplane_jet_ambi_spec_1765928.png,1,airplane,jet,spec,the plane in the air,the plane in the air,"[('the', 'DT'), ('plane', 'NN'), ('in', 'IN'), ('the', 'DT'), ('air', 'NN')]","(ROOT
  (NP
    (NP (DT the) (NN plane))
    (PP (IN in)
      (NP (DT the) (NN air)))))","[(ROOT, 0, 2), (det, 2, 1), (case, 5, 3), (det, 5, 4), (nmod, 2, 5)]","['DT', 'NN', 'IN', 'DT', 'NN']","['the', 'plane', 'in', 'the', 'air']",plane,plane,ref,syntax,['--'],"['in', 'the', 'air']",['--'],[]
24,5614,5475717,airplane_jet_ambi_spec_1765928.png,1,airplane,jet,spec,the the airplane with red lettering and red maple leaf,the the airplane with red lettering and red maple leaf,"[('the', 'DT'), ('the', 'DT'), ('airplane', 'NN'), ('with', 'IN'), ('red', 'JJ'), ('lettering', 'NN'), ('and', 'CC'), ('red', 'JJ'), ('maple', 'NN'), ('leaf', 'NN')]","(ROOT
  (X
    (X (DT the))
    (NP
      (NP (DT the) (NN airplane))
      (PP (IN with)
        (NP
          (NP (JJ red) (NN lettering))
          (CC and)
          (NP (JJ red) (NN maple) (NN leaf)))))))","[(ROOT, 0, 3), (det:predet, 3, 1), (det, 3, 2), (case, 6, 4), (amod, 6, 5), (nmod, 3, 6), (cc, 10, 7), (amod, 9, 8), (compound, 10, 9), (conj, 6, 10)]","['DT', 'DT', 'NN', 'IN', 'JJ', 'NN', 'CC', 'JJ', 'NN', 'NN']","['the', 'the', 'airplane', 'with', 'red', 'lettering', 'and', 'red', 'maple', 'leaf']",airplane,airplane,ref,syntax,['the'],"['with', 'red', 'lettering', 'and', 'red', 'maple', 'leaf']","['colour', 'colour', 'with', 'part_or_object']","['visual', 'part']"
25,5671,1841079,airplane_jet_ambi_spec_1765928.png,1,airplane,jet,spec,the plane on the ground,the plane on the ground,"[('the', 'DT'), ('plane', 'NN'), ('on', 'IN'), ('the', 'DT'), ('ground', 'NN')]","(ROOT
  (NP
    (NP (DT the) (NN plane))
    (PP (IN on)
      (NP (DT the) (NN ground)))))","[(ROOT, 0, 2), (det, 2, 1), (case, 5, 3), (det, 5, 4), (nmod, 2, 5)]","['DT', 'NN', 'IN', 'DT', 'NN']","['the', 'plane', 'on', 'the', 'ground']",plane,plane,ref,syntax,['--'],"['on', 'the', 'ground']",['position'],['pos_orient']
26,1883,9850829,airplane_jet_ambi_spec_1765928.png,1,airplane,jet,spec,the big white plane,the big white plane,"[('the', 'DT'), ('big', 'JJ'), ('white', 'JJ'), ('plane', 'NN')]","(ROOT
  (FRAG
    (NP (DT the) (JJ big) (JJ white) (NN plane))))","[(ROOT, 0, 4), (det, 4, 1), (amod, 4, 2), (amod, 4, 3)]","['DT', 'JJ', 'JJ', 'NN']","['the', 'big', 'white', 'plane']",plane,plane,ref,syntax,"['big', 'white']",['--'],"['size', 'colour']",['visual']
27,1819,5045471,airplane_jet_ambi_spec_1765928.png,1,airplane,jet,spec,the white airplane,the white airplane,"[('the', 'DT'), ('white', 'JJ'), ('airplane', 'NN')]","(ROOT
  (NP (DT the) (JJ white) (NN airplane)))","[(ROOT, 0, 3), (det, 3, 1), (amod, 3, 2)]","['DT', 'JJ', 'NN']","['the', 'white', 'airplane']",airplane,airplane,ref,syntax,['white'],['--'],['colour'],['visual']
28,15,3319139,airplane_jet_ambi_spec_1765928.png,1,airplane,jet,spec,the white plane,the white plane,"[('the', 'DT'), ('white', 'JJ'), ('plane', 'NN')]","(ROOT
  (NP (DT the) (JJ white) (NN plane)))","[(ROOT, 0, 3), (det, 3, 1), (amod, 3, 2)]","['DT', 'JJ', 'NN']","['the', 'white', 'plane']",plane,plane,ref,syntax,['white'],['--'],['colour'],['visual']
29,5757,9445150,airplane_jet_ambi_spec_1765928.png,1,airplane,jet,spec,the plane on ground,the plane on ground,"[('the', 'DT'), ('plane', 'NN'), ('on', 'IN'), ('ground', 'NN')]","(ROOT
  (NP
    (NP (DT the) (NN plane))
    (PP (IN on)
      (NP (NN ground)))))","[(ROOT, 0, 2), (det, 2, 1), (case, 4, 3), (nmod, 2, 4)]","['DT', 'NN', 'IN', 'NN']","['the', 'plane', 'on', 'ground']",plane,plane,ref,syntax,['--'],"['on', 'ground']",['position'],['pos_orient']
